PREÇO|QUARTOS|TAMANHO|CONDOMÍNIO|ESTACIONAMENTO|BAIRRO
R$ 1.200.000|5 ou mais quartos | | | 5 ou mais vagas|São João Bosco
R$ 520.000|3 quartos | 90m² |R$ 600 | 2 vagas|Lagoa
R$ 250.000|4 quartos | 200m² |R$ 0 | 2 vagas|Nova Esperança
R$ 900.000|4 quartos | 380m² | | 2 vagas|São João Bosco
R$ 55.000|3 quartos| | | |Igarapé
R$ 890.000|3 quartos | | | 5 ou mais vagas|Cuniã
R$ 490.000|5 ou mais quartos | | | 5 ou mais vagas|Cuniã
R$ 230|2 quartos | |R$ 200| |Novo Horizonte
R$ 279.000|2 quartos | | | 3 vagas|Bairro Novo
R$ 300.000|3 quartos | | | 2 vagas|Cuniã
R$ 310.000|3 quartos | 70m² | | 1 vaga|Cuniã
R$ 560.000|3 quartos | | | 2 vagas|Cuniã
R$ 200.000|2 quartos | 94m² |R$ 186 | 2 vagas|Planalto
R$ 420.000|3 quartos | 100m² | | 2 vagas|Embratel
R$ 46.999|2 quartos | 42m² |R$ 160 | 1 vaga|Bairro Novo
R$ 180.000|5 ou mais quartos | 0m² |R$ 0 | 2 vagas|São Sebastião
R$ 330.000|3 quartos | 85m² |R$ 0 | 1 vaga|Floresta
R$ 520.000|3 quartos | 120m² |R$ 0 | 2 vagas|Nova Esperança
R$ 1.290.000|4 quartos | 319m² |R$ 0 | 3 vagas|Igarapé
R$ 260.000|3 quartos | 100m² | | 2 vagas|Aponiã
R$ 560.000|3 quartos | 123m² | | 2 vagas|Santa Bárbara
R$ 260.000|2 quartos | 52m² |R$ 0| |Igarapé
R$ 160.000|2 quartos | 46m² |R$ 150 | 1 vaga|Aeroclube
R$ 55.000|2 quartos | 2m²| | |Teixeirão
R$ 1.200.000|3 quartos | | | 2 vagas|Cuniã
R$ 300.000|2 quartos | 250m² |R$ 0| |Nova Floresta
R$ 1.250.000|3 quartos | | | 2 vagas|Cuniã
R$ 70.000|2 quartos | 250m²| | |Caladinho
R$ 650.000|3 quartos | 160m² | | 2 vagas|Cuniã
R$ 240.000|3 quartos | 0m² | | 4 vagas|Embratel
R$ 200.000|3 quartos | 60m² |R$ 198 | 2 vagas|Bairro Novo
R$ 350.000|3 quartos | 74m² | | 1 vaga|Rio Madeira
R$ 350.000|3 quartos | 82m² |R$ 580 | 1 vaga|Rio Madeira
R$ 1.500.000|3 quartos | 257m² |R$ 0 | 4 vagas|Triângulo
R$ 330.000|3 quartos | 31381m²| | |Panair
R$ 115.000|2 quartos | 42m² |R$ 160 | 1 vaga|Bairro Novo
R$ 280.000|3 quartos | 210m²| | |Nova Floresta
R$ 780.000|3 quartos | 143m² |R$ 0 | 2 vagas|Nova Porto Velho
R$ 350.000|3 quartos | 91m² |R$ 256 | 3 vagas|Triângulo
R$ 250.000|2 quartos | 68m² |R$ 230 | 1 vaga|Nova Esperança
R$ 25.000|2 quartos| | | |Mariana
R$ 180.000|2 quartos | 52m² |R$ 170 | 1 vaga|Areal
R$ 325.000|3 quartos | 41m² |R$ 187 | 2 vagas|Novo Horizonte
R$ 340.000|3 quartos | 230m² | | 2 vagas|Aponiã
R$ 840.000|3 quartos | 158m² |R$ 400 | 2 vagas|Aponiã
R$ 700.000|3 quartos | 140m² |R$ 1.160 | 2 vagas|Olaria
R$ 1.000.000|3 quartos | 148m² |R$ 1.200 | 2 vagas|Olaria
R$ 1.750.000|4 quartos | 280m² |R$ 1.500 | 3 vagas|Baixa União
R$ 1.550.000|3 quartos | 245m² |R$ 720 | 2 vagas|Aponiã
R$ 108.000|2 quartos | 42m² |R$ 0 | 1 vaga|Bairro Novo
R$ 250.000|3 quartos | 100m² | | 2 vagas|Aponiã
R$ 330.000|3 quartos | 74m² |R$ 620 | 1 vaga|Liberdade
R$ 4.500.000|5 ou mais quartos | 1631m² |R$ 0| |Nossa Senhora das Graças
R$ 60.000|2 quartos | 112m² |R$ 0 | 3 vagas|Ronaldo Aragão
R$ 240.000|3 quartos | 70m² | | 2 vagas|Juscelino Kubitschek
R$ 160.000|2 quartos | 0m² | | 1 vaga|Aeroclube
R$ 260.000|3 quartos | 110m² |R$ 0 | 5 ou mais vagas|Cohab
R$ 2.700.000|4 quartos | 537m² |R$ 800 | 3 vagas|Aponiã
R$ 130.000| | | | |Cascalheira
R$ 250.000|2 quartos | 160m² |R$ 0 | 3 vagas|Conceição
R$ 280.000|5 ou mais quartos | 280m²| | |Nova Floresta
R$ 179.999|4 quartos | 250m² |R$ 0 | 4 vagas|Jardim Santana
R$ 35.000|2 quartos | 50m² |R$ 130 | 1 vaga|Socialista
R$ 330.000|2 quartos | 111m² |R$ 264 | 2 vagas|Jardim Santana
R$ 550.000|3 quartos | 210m² | | 2 vagas|Flodoaldo Pontes Pinto
R$ 290.000|3 quartos | 150m² |R$ 0 | 2 vagas|Aponiã
R$ 1.000.000|5 ou mais quartos | 250m² |R$ 0| |Nova Floresta
R$ 1.000.000|3 quartos | 147m² |R$ 1.000 | 2 vagas|Nova Porto Velho
R$ 180.000|2 quartos | 140m² |R$ 0 | 4 vagas|Nova Esperança
R$ 160.000|5 ou mais quartos | 55m² | | 3 vagas|Cohab
R$ 290.000|3 quartos | 80m² | | 2 vagas|Lagoa
R$ 430.000|3 quartos | 182m² |R$ 0 | 5 ou mais vagas|Flodoaldo Pontes Pinto
R$ 750.000|1 quarto | 45m² |R$ 0| |Nova Floresta
R$ 550.000|5 ou mais quartos | 290m² |R$ 900 | 5 ou mais vagas|Lagoa
R$ 300|2 quartos | | | 1 vaga|Agenor de Carvalho
R$ 790.000|3 quartos | 161m² | | 2 vagas|Aponiã
R$ 800.000|4 quartos | 176m² | | 2 vagas|Olaria
R$ 27.000|2 quartos | 25m² | | 2 vagas|Marcos Freire
R$ 350.000|3 quartos | 160m² |R$ 0 | 2 vagas|Escola de Polícia
R$ 330.000|3 quartos | 87m² |R$ 0 | 1 vaga|Liberdade
R$ 680|3 quartos | 0m² |R$ 290 | 2 vagas|Eletronorte
R$ 330.000|3 quartos | 85m² | | 2 vagas|Rio Madeira
R$ 900.000|3 quartos | 187m² |R$ 330 | 4 vagas|Aponiã
R$ 380.000|3 quartos | 74m² |R$ 550 | 1 vaga|Rio Madeira
R$ 220.000|3 quartos | 84m² |R$ 280 | 1 vaga|Nova Esperança
R$ 190.000|2 quartos | | | 2 vagas|São Cristóvão
R$ 650.000|3 quartos | 143m² |R$ 1.100 | 2 vagas|Nossa Senhora das Graças
R$ 25.000|2 quartos| | | |Aeroclube
R$ 36.000|3 quartos | 200m² | | 2 vagas|Caiari
R$ 390.000|3 quartos | 76m² |R$ 0 | 2 vagas|Rio Madeira
R$ 150.000|3 quartos | 350m² | | 2 vagas|Nova Esperança
R$ 830.000|3 quartos | 143m² |R$ 0 | 2 vagas|Nossa Senhora das Graças
R$ 1.150.000|5 ou mais quartos | 450m² |R$ 1.210 | 4 vagas|Nova Porto Velho
R$ 80.000|2 quartos| | | |Castanheira
R$ 600.000|3 quartos | 120m² | | 2 vagas|Nossa Senhora das Graças
R$ 180.000|2 quartos | 70m² |R$ 0 | 2 vagas|Bairro Novo
R$ 400.000|3 quartos | 252m² | | 3 vagas|Agenor de Carvalho
R$ 300.000|4 quartos | 230m² | | 2 vagas|Nova Floresta
R$ 640.000|3 quartos | |R$ 228| |Nova Floresta
R$ 100.000|2 quartos | 0m² |R$ 0 | 2 vagas|Nossa Senhora das Graças
R$ 880.000|2 quartos | 200m² | | 5 ou mais vagas|Centro
R$ 2.300|3 quartos | 120m² | | 1 vaga|Agenor de Carvalho
R$ 350.000|3 quartos | 67m² |R$ 280 | 2 vagas|Planalto
R$ 565.000|3 quartos | 130m² |R$ 350 | 4 vagas|Pedrinhas
R$ 250.000|3 quartos| | | |Baixa União
R$ 450.000|3 quartos | 98m² |R$ 180 | 2 vagas|Rio Madeira
R$ 130.000|1 quarto | | | 2 vagas|Nova Esperança
R$ 220.000|4 quartos | 250m² | | 2 vagas|Aponiã
R$ 125.000|3 quartos | 90m² |R$ 0 | 2 vagas|Bairro Novo
R$ 180.000|2 quartos | 42m² |R$ 0 | 2 vagas|Bairro Novo
R$ 120.000|2 quartos | 0m²| | |Lagoinha
R$ 120.000|2 quartos | 0m²| | |Floresta
R$ 230.000|2 quartos | 0m² | | 2 vagas|Caladinho
R$ 459.000|3 quartos | 104m² |R$ 0 | 2 vagas|Castanheira
R$ 1.750.000|4 quartos | 256m² |R$ 1.500 | 3 vagas|Centro
R$ 295.000|4 quartos | 230m² |R$ 0 | 5 ou mais vagas|Floresta
R$ 149.999|3 quartos | 80m²| | |Aponiã
R$ 140.000|2 quartos | 64m² |R$ 250 | 1 vaga|Novo Horizonte
R$ 315.000|3 quartos | 85m² |R$ 590 | 2 vagas|Rio Madeira
R$ 98.000|2 quartos | 70m² |R$ 0| |Caladinho
R$ 360.000|3 quartos | 67m² |R$ 0| |Lagoa
R$ 360.000|3 quartos | 90m² |R$ 540 | 2 vagas|Costa e Silva
R$ 150.000|2 quartos | 56m² |R$ 300 | 1 vaga|Rio Madeira
R$ 60.000|2 quartos | | | 1 vaga|Ulisses Guimarães
R$ 100.000|3 quartos | | | 2 vagas|Juscelino Kubitschek
R$ 310.000|3 quartos | 120m² | | 2 vagas|Cuniã
R$ 1.000.000|3 quartos | 165m² |R$ 350 | 2 vagas|Aponiã
R$ 950.000|3 quartos | 395m² | | 4 vagas|Nova Porto Velho
R$ 490.000|5 ou mais quartos | 510m² |R$ 0 | 3 vagas|Areal
R$ 390.000|3 quartos | 74m² |R$ 0 | 1 vaga|Rio Madeira
R$ 850.000|3 quartos | 238m² | | 4 vagas|São João Bosco
R$ 850.000|4 quartos | 200m² |R$ 550 | 3 vagas|Flodoaldo Pontes Pinto
R$ 1.400.000|4 quartos | 270m² | | 3 vagas|São João Bosco
R$ 890.000|3 quartos | 213m² |R$ 1.200 | 2 vagas|Nova Porto Velho
R$ 1.200.000|3 quartos | 302m² |R$ 2.200 | 3 vagas|Panair
R$ 120.000|2 quartos | 70m² | | 4 vagas|Lagoinha
R$ 60.000|2 quartos | 250m² |R$ 0 | 1 vaga|Castanheira
R$ 45.000|2 quartos | |R$ 65.000| |Três Marias
R$ 459.000|3 quartos | 104m² |R$ 450 | 4 vagas|Aeroclube
R$ 260.000|2 quartos | 146m² |R$ 0 | 2 vagas|Novo Horizonte
R$ 865.000|3 quartos | 202m² |R$ 1.138| |Agenor de Carvalho
R$ 490.000|3 quartos | 400m²| | |Aponiã
R$ 265.000|2 quartos | 136m² | | 2 vagas|Liberdade
R$ 379.999|3 quartos | 140m² |R$ 0 | 3 vagas|Flodoaldo Pontes Pinto
R$ 350.000|3 quartos | 74m² |R$ 440 | 1 vaga|Rio Madeira
R$ 1.500.000|4 quartos | 950m² |R$ 900 | 4 vagas|Panair
R$ 782.700|2 quartos | 169m² |R$ 988 | 2 vagas|Nossa Senhora das Graças
R$ 500.000|2 quartos | 10m² |R$ 0 | 2 vagas|Flodoaldo Pontes Pinto
R$ 45.000|2 quartos | 46m² |R$ 160 | 1 vaga|Bairro Novo
R$ 250.000|2 quartos | 72m² |R$ 0 | 2 vagas|Rio Madeira
R$ 190.000|1 quarto | 43m² |R$ 0| |Caladinho
R$ 19.000|1 quarto | 15m²| | |Aeroclube
R$ 400.000|3 quartos | 143m² |R$ 400 | 2 vagas|Lagoa
R$ 100.000|3 quartos | 30m² | | 1 vaga|São Sebastião
R$ 65.000|2 quartos | | | 1 vaga|Ronaldo Aragão
R$ 70.000|2 quartos | | | 2 vagas|Caladinho
R$ 220.000|3 quartos | 100m² |R$ 190 | 2 vagas|Bairro Novo
R$ 380.000|3 quartos | 250m² | | 3 vagas|Aponiã
R$ 0|3 quartos | 84m²| | |Liberdade
R$ 700.000|3 quartos | 117m² |R$ 800 | 2 vagas|São João Bosco
R$ 295.000|3 quartos | 78m² |R$ 0 | 2 vagas|Rio Madeira
R$ 850.000|3 quartos | |R$ 800 | 2 vagas|Rio Madeira
R$ 25.000|2 quartos | | | 2 vagas|Cohab
R$ 0|2 quartos | 0m² |R$ 0 | 1 vaga|Centro
R$ 180.000|2 quartos | | | 2 vagas|Castanheira
R$ 225.000|3 quartos | 250m² |R$ 0 | 2 vagas|Aponiã
R$ 450.000|4 quartos | 200m² |R$ 0 | 4 vagas|Flodoaldo Pontes Pinto
R$ 60.000|2 quartos | | | 2 vagas|Maringá
R$ 580.000|3 quartos | 120m² | | 2 vagas|Industrial
R$ 1.950.000|3 quartos | 450m² |R$ 1.000 | 4 vagas|Panair
R$ 310.000|3 quartos | 300m² |R$ 0 | 3 vagas|Aponiã
R$ 50.000|1 quarto| | | |Mariana
R$ 180.000|3 quartos | 50m² | | 2 vagas|Liberdade
R$ 85.000|2 quartos | | | 2 vagas|Conceição
R$ 35.000|2 quartos | 300m²| | |Bairro Novo
R$ 650.000|4 quartos | 150m² |R$ 0 | 4 vagas|Embratel
R$ 310.000|3 quartos | 70m² | | 1 vaga|Agenor de Carvalho
R$ 750.000|3 quartos | 250m² |R$ 450 | 4 vagas|Castanheira
R$ 320.000|3 quartos | 72m² |R$ 450 | 1 vaga|Agenor de Carvalho
R$ 750.000|4 quartos | | | 2 vagas|Aponiã
R$ 600.000|3 quartos | | | 2 vagas|Rio Madeira
R$ 290.000|2 quartos | 123m² |R$ 0 | 2 vagas|Rio Madeira
R$ 350| |2m² |R$ 2| |Ulisses Guimarães
R$ 18.000|2 quartos| | | |Caladinho
R$ 280.000|2 quartos | 150m² | | 2 vagas|Lagoa
R$ 275.000|2 quartos | 122m² | | 2 vagas|Aponiã
R$ 400.000|2 quartos | | | 2 vagas|Esperança da Comunidade
R$ 600.000|5 ou mais quartos | 350m² |R$ 0 | 4 vagas|Agenor de Carvalho
R$ 150.000|2 quartos | 90m² |R$ 0| |Esperança da Comunidade
R$ 450.000| |0m²| | |Eldorado
R$ 350.000|4 quartos | 215m² |R$ 0 | 2 vagas|Embratel
R$ 250.000|2 quartos | 94m² |R$ 250 | 1 vaga|Aeroclube
R$ 155.000|3 quartos | 1157m² | | 2 vagas|Nacional
R$ 190.800|2 quartos | 42m² |R$ 165 | 2 vagas|Bairro Novo
R$ 890.000|3 quartos | 0m² |R$ 0 | 2 vagas|Aponiã
R$ 240.000|3 quartos | 107m² |R$ 0 | 2 vagas|Cuniã
R$ 160.000|2 quartos | 42m² |R$ 0| |Bairro Novo
R$ 291.000|2 quartos | 58m² |R$ 400 | 2 vagas|Flodoaldo Pontes Pinto
R$ 0|2 quartos | 52m² | | 2 vagas|Planalto
R$ 250.000|3 quartos | 102m² |R$ 0 | 2 vagas|Cuniã
R$ 500.000|3 quartos | 136m² | | 2 vagas|Nova Porto Velho
R$ 0|3 quartos | 60m² | | 2 vagas|Rio Madeira
R$ 235.900|2 quartos | 66m² | | 1 vaga|Lagoa
R$ 260.000|2 quartos | 50m² |R$ 0 | 1 vaga|Igarapé
R$ 0|3 quartos | 70m² | | 2 vagas|Rio Madeira
R$ 0| |52m² |R$ 0 | 1 vaga|Flodoaldo Pontes Pinto
R$ 210.000|2 quartos | 220m² | | 1 vaga|Castanheira
R$ 190.000|3 quartos | 120m² | | 2 vagas|Eletronorte
R$ 150.000|2 quartos | 300m² |R$ 0 | 2 vagas|Aponiã
R$ 172.000|2 quartos | 50m² |R$ 0 | 1 vaga|Planalto
R$ 400.000|4 quartos | 143m² |R$ 0| |Lagoa
R$ 150.000|2 quartos | | | 2 vagas|Esperança da Comunidade
R$ 550.000|3 quartos | 110m² | | 2 vagas|Embratel
R$ 650.000|3 quartos | 290m² |R$ 0 | 2 vagas|Olaria
R$ 320.000|3 quartos | | | 2 vagas|Embratel
R$ 305.000|3 quartos | 72m² | | 2 vagas|Aponiã
R$ 1.100.000|3 quartos | 198m² |R$ 400 | 2 vagas|Cidade Jardim
R$ 550.000|3 quartos | 100m² |R$ 500 | 2 vagas|Industrial
R$ 1.350.000|3 quartos | 256m² | | 2 vagas|Aponiã
R$ 350.000|4 quartos | 180m² | | 2 vagas|Aponiã
R$ 350.000|3 quartos | 91m² |R$ 0 | 2 vagas|Triângulo
R$ 130.000|2 quartos | 250m² |R$ 0 | 5 ou mais vagas|Novo Horizonte
R$ 560.000|3 quartos | 146m² |R$ 1.300 | 2 vagas|Embratel
R$ 330.000|2 quartos | 55m² |R$ 0 | 1 vaga|Nossa Senhora das Graças
R$ 0|3 quartos | | | 2 vagas|Conceição
R$ 980.000|4 quartos | 305m² |R$ 0| |Panair
R$ 220.000|3 quartos | 140m² |R$ 0 | 3 vagas|Aponiã
R$ 80.000|2 quartos | 80m² |R$ 0| |Teixeirão
R$ 890.000|5 ou mais quartos | 550m² |R$ 0 | 2 vagas|Arigolândia
R$ 450.000|4 quartos | 250m² |R$ 0 | 2 vagas|Baixa União
R$ 350.000|3 quartos | 190m² |R$ 0 | 2 vagas|Aponiã
R$ 260.000|3 quartos | 80m² |R$ 400| |Cuniã
R$ 1.100.000|3 quartos | 152m² |R$ 0 | 2 vagas|Nova Porto Velho
R$ 950.000|3 quartos | 152m² |R$ 1.000 | 2 vagas|Embratel
R$ 480.000|3 quartos | 84m² | | 2 vagas|Pedrinhas
R$ 20.000|2 quartos | |R$ 44 | 1 vaga|São Francisco
R$ 890.000|3 quartos | | | 3 vagas|Aponiã
R$ 110.000|2 quartos | 80m² |R$ 0 | 1 vaga|Aeroclube
R$ 1.250.000|3 quartos | 240m² |R$ 400 | 2 vagas|Triângulo
R$ 1.400.000|5 ou mais quartos | 530m² |R$ 0 | 5 ou mais vagas|Nova Esperança
R$ 900.000|4 quartos | 235m² |R$ 1.260 | 4 vagas|Olaria
R$ 750.000|3 quartos | 244m² |R$ 0 | 2 vagas|Aponiã
R$ 550.000|3 quartos | 130m² | | 2 vagas|Pedrinhas
R$ 1.450.000|3 quartos | 258m² |R$ 1.500 | 3 vagas|Olaria
R$ 380.000|3 quartos | 250m² |R$ 0| |Flodoaldo Pontes Pinto
R$ 250.000|2 quartos | 68m² |R$ 170 | 2 vagas|Bairro Novo
R$ 210.000|2 quartos | 70m² | | 2 vagas|Aponiã
R$ 300.000|3 quartos | 140m² |R$ 0 | 3 vagas|Aponiã
R$ 170.000|2 quartos | 52m² |R$ 325 | 1 vaga|Rio Madeira
R$ 300.000|3 quartos | 150m² |R$ 0 | 4 vagas|Flodoaldo Pontes Pinto
R$ 29.000|1 quarto | 290m² |R$ 0| |Teixeirão
R$ 280.000|3 quartos | 440m² |R$ 0 | 2 vagas|Agenor de Carvalho
R$ 180.000|2 quartos | 51m² |R$ 0 | 2 vagas|Planalto
R$ 280.000|3 quartos | 74m² |R$ 400 | 1 vaga|Cuniã
R$ 195.000|2 quartos | 58m² |R$ 0 | 1 vaga|Nova Esperança
R$ 960.000|3 quartos | 0m² |R$ 900 | 2 vagas|Nova Porto Velho
R$ 290.000|3 quartos | 193m² |R$ 0 | 4 vagas|Agenor de Carvalho
R$ 90.000|3 quartos| | | |Nova Esperança
R$ 449.999|3 quartos | 95m² |R$ 0 | 2 vagas|Aponiã
R$ 265.000|4 quartos | 200m² |R$ 0 | 3 vagas|Lagoinha
R$ 700.000|3 quartos | 115m² |R$ 850 | 2 vagas|Olaria
R$ 195.000|3 quartos | 61m² |R$ 0 | 2 vagas|Bairro Novo
R$ 300.000|4 quartos | 150m² |R$ 0 | 3 vagas|Tiradentes
R$ 30.000|2 quartos | 250m² |R$ 0| |Cohab
R$ 319.000|2 quartos | 100m² |R$ 370 | 1 vaga|Lagoa
R$ 1.000.000|3 quartos | 500m² | | 5 ou mais vagas|Centro
R$ 415.000| |0m²| | |Cuniã
R$ 480.000|3 quartos | 573m² |R$ 0 | 2 vagas|Liberdade
R$ 62.000|2 quartos | 45m² | | 1 vaga|Aeroclube
R$ 400.000|3 quartos | 0m² | | 3 vagas|Três Marias
R$ 400.000|2 quartos | 0m² | | 4 vagas|Floresta
R$ 650.000|3 quartos | 212m² | | 2 vagas|Industrial
R$ 550.000|3 quartos | 120m² |R$ 0 | 2 vagas|Pedrinhas
R$ 240.000|3 quartos | 90m² |R$ 340 | 1 vaga|Aeroclube
R$ 1.200.000|4 quartos | 0m² | | 2 vagas|Lagoa
R$ 3.200.000|4 quartos | 422m² |R$ 0 | 4 vagas|Aponiã
R$ 100.000|2 quartos | 300m² | | 3 vagas|Cohab
R$ 200.000|3 quartos | 74m² | | 2 vagas|Lagoinha
R$ 259.800|3 quartos | 67m² |R$ 260 | 2 vagas|Planalto
R$ 360.000|3 quartos | 196m² |R$ 0 | 2 vagas|Embratel
R$ 850.000|3 quartos | 230m² | | 5 ou mais vagas|Pedrinhas
R$ 350.000|2 quartos | 460m² | | 5 ou mais vagas|Liberdade
R$ 160.000|2 quartos| | | |Escola de Polícia
R$ 670.000|2 quartos | 97m² | | 2 vagas|Nova Porto Velho
R$ 890.000|3 quartos | 164m² | | 2 vagas|Aponiã
R$ 520.000|4 quartos | 250m² |R$ 0 | 2 vagas|Nova Esperança
R$ 1.500.000|4 quartos | 256m² |R$ 400 | 4 vagas|Cidade Jardim
R$ 178.000|2 quartos | 70m² |R$ 0 | 2 vagas|Caladinho
R$ 400.000|3 quartos | 143m² |R$ 400 | 2 vagas|Lagoa
R$ 331.669|2 quartos | 60m² |R$ 0 | 1 vaga|Rio Madeira
R$ 55.000|2 quartos| | | |São Cristóvão
R$ 243.495|2 quartos | 67m² |R$ 0 | 1 vaga|Lagoa
|3 quartos | 0m² |R$ 375 | 2 vagas|Nova Esperança
R$ 165.000|2 quartos | 65m² |R$ 150 | 1 vaga|Centro
R$ 45.000|2 quartos | 46m² |R$ 0 | 1 vaga|Bairro Novo
R$ 720.720|3 quartos | 135m² |R$ 0 | 2 vagas|Olaria
R$ 500.000|2 quartos | 117m² |R$ 1.150 | 2 vagas|Olaria
R$ 305.000|3 quartos | 72m² | | 2 vagas|Aponiã
R$ 350.000|4 quartos | 150m² |R$ 0 | 4 vagas|Nova Esperança
R$ 260.000|2 quartos | 72m² |R$ 0| |Cuniã
R$ 690.000|3 quartos | 144m² | | 1 vaga|Nova Esperança
R$ 2.200.000|4 quartos | 368m² | | 3 vagas|Rio Madeira
R$ 325.000|3 quartos | 72m² |R$ 550 | 1 vaga|Nova Porto Velho
R$ 1.060.000|3 quartos | 310m² |R$ 420 | 2 vagas|Triângulo
R$ 155.000|3 quartos | 100m² |R$ 0 | 5 ou mais vagas|Bairro Novo
R$ 89.999|2 quartos | 260m² |R$ 0 | 3 vagas|Lagoinha
R$ 160.000|1 quarto | 128m² | | 1 vaga|Cuniã
R$ 170.000|2 quartos | | | 2 vagas|Três Marias
R$ 1.600.000|4 quartos | 416m² |R$ 0 | 4 vagas|Nova Esperança
R$ 580.000|3 quartos | 83m² |R$ 550 | 2 vagas|Lagoa
R$ 350.000|3 quartos | 210m² |R$ 0| |Floresta
R$ 300.000|3 quartos | 180m² |R$ 0 | 3 vagas|Aponiã
R$ 100.000|4 quartos| | | |Ronaldo Aragão
R$ 1.250.000|4 quartos | 293m² |R$ 0 | 4 vagas|Mariana
R$ 1.000.000|5 ou mais quartos | 430m² |R$ 0 | 5 ou mais vagas|Tucumanzal
R$ 350.000|4 quartos | 230m² |R$ 0 | 2 vagas|Agenor de Carvalho
R$ 342.200|2 quartos | 68m² |R$ 0 | 1 vaga|Flodoaldo Pontes Pinto
R$ 380.000|2 quartos | 180m² |R$ 0 | 5 ou mais vagas|Agenor de Carvalho
R$ 150.000|2 quartos | 60m² |R$ 0 | 3 vagas|Jardim Santana
R$ 119.999|2 quartos | 42m² |R$ 160 | 1 vaga|Bairro Novo
R$ 135.000|2 quartos | 0m² |R$ 0 | 1 vaga|Costa e Silva
R$ 140.000|2 quartos | | | 5 ou mais vagas|Três Marias
R$ 195.000|2 quartos | 57m² | | 1 vaga|Nova Esperança
R$ 30.000|2 quartos | 30m² |R$ 45 | 1 vaga|Aeroclube
R$ 50.000|2 quartos | 180m² |R$ 0| |São Cristóvão
R$ 110.000|2 quartos | 49m² |R$ 0 | 1 vaga|Bairro Novo
R$ 903.990|3 quartos | 160m² |R$ 0 | 2 vagas|Aponiã
R$ 90.000|2 quartos | 44m² |R$ 0 | 1 vaga|Aeroclube
R$ 378.990|2 quartos | 98m² |R$ 0 | 2 vagas|Costa e Silva
R$ 550.000|2 quartos | 98m² |R$ 900 | 2 vagas|Costa e Silva
R$ 450.000|3 quartos | 98m² |R$ 0 | 2 vagas|Aponiã
R$ 100.000|3 quartos | | | 2 vagas|Triângulo
R$ 585.000|3 quartos | 132m² |R$ 730 | 2 vagas|Olaria
R$ 285.000|2 quartos | 58m² |R$ 0 | 1 vaga|Rio Madeira
R$ 675.000|3 quartos | 154m² | | 3 vagas|Agenor de Carvalho
R$ 368.000|2 quartos | 61m² |R$ 0 | 1 vaga|Flodoaldo Pontes Pinto
R$ 243.495|2 quartos | 66m² |R$ 0 | 2 vagas|Lagoa
R$ 520.000|3 quartos | 135m² |R$ 850 | 2 vagas|Olaria
R$ 350.000|3 quartos | 74m² |R$ 0 | 1 vaga|Rio Madeira
R$ 490.000|3 quartos | 120m² |R$ 0 | 2 vagas|São Cristóvão
R$ 35.000|3 quartos| | | |Ulisses Guimarães
R$ 65.000|2 quartos| | | |Planalto
R$ 450.000|3 quartos | 84m² |R$ 850| |Pedrinhas
R$ 250.000|2 quartos | 0m² | | 1 vaga|Areal
R$ 400.000|3 quartos | |R$ 550 | 2 vagas|Rio Madeira
R$ 172.000|2 quartos | 52m² |R$ 150 | 2 vagas|Planalto
R$ 70.000|1 quarto | | | 1 vaga|Nova Floresta
R$ 450.000|4 quartos | 360m² |R$ 500 | 4 vagas|Aeroclube
R$ 260.000|3 quartos | | | 3 vagas|Lagoinha
R$ 380.000|3 quartos | 74m² |R$ 550 | 1 vaga|Rio Madeira
R$ 135.000|2 quartos | 50m² | | 3 vagas|Aponiã
R$ 680.000|3 quartos | 450m² | | 2 vagas|Agenor de Carvalho
R$ 14.000|2 quartos | | | 2 vagas|Eldorado
R$ 650.000|3 quartos | 160m² | | 2 vagas|Rio Madeira
R$ 890.000|3 quartos | 161m² |R$ 340 | 2 vagas|Nova Esperança
R$ 130.000|3 quartos | | | 3 vagas|São Francisco
R$ 1.850.000|4 quartos | 362m² | | 4 vagas|Rio Madeira
R$ 175.000|2 quartos | 65m² |R$ 300 | 2 vagas|Aeroclube
R$ 270.000|3 quartos | 196m² | | 2 vagas|Aeroclube
R$ 250.000|3 quartos | 200m² | | 2 vagas|Aeroclube
R$ 375.000|2 quartos | 95m² | | 2 vagas|Flodoaldo Pontes Pinto
R$ 1.600.000|3 quartos | 374m² |R$ 360 | 5 ou mais vagas|Liberdade
R$ 480.000|3 quartos | 245m² | | 2 vagas|Pedrinhas
R$ 580.000|3 quartos | 120m² |R$ 350 | 2 vagas|Industrial
R$ 280.000|2 quartos | 200m² | | 2 vagas|Tancredo Neves
R$ 670.000|2 quartos | 107m² | | 2 vagas|São João Bosco
R$ 230.000|3 quartos | 150m² | | 3 vagas|Aeroclube
R$ 500.000|4 quartos | 200m² |R$ 0 | 3 vagas|Cuniã
R$ 1.250.000|3 quartos | 251m² |R$ 450 | 4 vagas|Aeroclube
R$ 480.000|4 quartos | 286m² |R$ 0 | 4 vagas|Nova Esperança
R$ 1.500.000|4 quartos | 327m² |R$ 0 | 3 vagas|Olaria
R$ 1.790.000|3 quartos | 220m² |R$ 830 | 2 vagas|Liberdade
R$ 249.999|3 quartos | 120m² | | 3 vagas|Conceição
R$ 650.000|2 quartos | 107m² |R$ 812 | 2 vagas|São João Bosco
R$ 120.000|2 quartos | 45m² |R$ 130 | 1 vaga|Bairro Novo
R$ 243.495|2 quartos | 67m² |R$ 0| |Lagoa
